route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
route_10,,Shastri Nagar,Flexible e-Rickshaw from Shastri Nagar,,715,,,,,,
route_164,,Dwarka Sec12,Flexible e-Rickshaw from Dwarka Sec12,,715,,,,,,
route_280,,Govind Puri,Flexible Cycle Rickshaw from Govind Puri,,715,,,,,,
route_82,,Mayapuri,Flexible e-Rickshaw from Mayapuri,,715,,,,,,
route_138,,JahangirPuri,Flexible e-Rickshaw from JahangirPuri,,715,,,,,,
route_66,,Majlis Park,Flexible e-Rickshaw from Majlis Park,,715,,,,,,
route_177,,New Delhi,Flexible e-Rickshaw from New Delhi,,715,,,,,,
route_42,,Moti Nagar,Flexible e-Rickshaw from Moti Nagar,,715,,,,,,
route_57,,Shaheed Sthal-New Bus Adda,Flexible e-Rickshaw from Shaheed Sthal-New Bus Adda,,715,,,,,,
route_297,,Jamia Millia Islamia,Flexible e-Rickshaw from Jamia Millia Islamia,,715,,,,,,
route_56,,Maj M.Sharma-Rajendra Nagar,Flexible Shared Auto from Maj M.Sharma-Rajendra Nagar,,715,,,,,,
route_60,,Shyam Park,Flexible Shared Auto from Shyam Park,,715,,,,,,
route_13,,Inderlok,Flexible e-Rickshaw from Inderlok,,715,,,,,,
route_55,,Kashmere Gate,Flexible e-Rickshaw from Kashmere Gate,,715,,,,,,
route_169,,Dwarka,Flexible e-Rickshaw from Dwarka,,715,,,,,,
route_11,,Inderlok,Flexible e-Rickshaw from Inderlok,,715,,,,,,
route_190,,Malaviya Nagar,Flexible Shared Auto from Malaviya Nagar,,715,,,,,,
route_194,,Tilak Nagar,Flexible e-Rickshaw from Tilak Nagar,,715,,,,,,
route_141,,Adarsh Nagar,Flexible e-Rickshaw from Adarsh Nagar,,715,,,,,,
route_184,,Uttam Ngr East,Flexible e-Rickshaw from Uttam Ngr East,,715,,,,,,
route_58,,Shaheed Sthal-New Bus Adda,Flexible e-Rickshaw from Shaheed Sthal-New Bus Adda,,715,,,,,,
route_79,,Delhi Cantt,Flexible e-Rickshaw from Delhi Cantt,,715,,,,,,
route_90,,Krishna Nagar,Flexible e-Rickshaw from Krishna Nagar,,715,,,,,,
route_47,,Shahdara,Flexible e-Rickshaw from Shahdara,,715,,,,,,
route_62,,Paschim V East,Flexible e-Rickshaw from Paschim V East,,715,,,,,,
route_63,,Paschim V West,Flexible e-Rickshaw from Paschim V West,,715,,,,,,
route_193,,Saket,Flexible Gramin-Seva from Saket,,715,,,,,,
route_167,,Chandani Chowk,Flexible e-Rickshaw from Chandani Chowk,,715,,,,,,
route_162,,Dwarka Sec11,Flexible e-Rickshaw from Dwarka Sec11,,715,,,,,,
route_180,,nawada,Flexible e-Rickshaw from nawada,,715,,,,,,
route_92,,East Azad Nagar,Flexible Cycle Rickshaw from East Azad Nagar,,715,,,,,,
route_80,,Sarai Kale Khan Nizamuddin,Flexible Cycle Rickshaw from Sarai Kale Khan Nizamuddin,,715,,,,,,
route_131,,Ghevra,Flexible Gramin-Seva from Ghevra,,715,,,,,,
route_127,,Pandit Shri Ram Sharma,Flexible Shared Auto from Pandit Shri Ram Sharma,,715,,,,,,
route_50,,Mohan Nagar,Flexible Auto from Mohan Nagar,,715,,,,,,
route_294,,Jamia Millia Islamia,Flexible e-Rickshaw from Jamia Millia Islamia,,715,,,,,,
route_134,,Haiderpur Badli Mor,Flexible e-Rickshaw from Haiderpur Badli Mor,,715,,,,,,
route_227,,Noida Sec16,Flexible e-Rickshaw from Noida Sec16,,715,,,,,,
route_106,,Peera Garhi,Flexible Gramin-Seva from Peera Garhi,,715,,,,,,
route_292,,Sukhdev Vihar,Flexible e-Rickshaw from Sukhdev Vihar,,715,,,,,,
route_16,,Inderlok,Flexible e-Rickshaw from Inderlok,,715,,,,,,
route_298,,NHPC Chowk,Flexible e-Rickshaw from NHPC Chowk,,715,,,,,,
route_48,,Mansarovar Park,Flexible e-Rickshaw from Mansarovar Park,,715,,,,,,
route_307,,Jasola Vihar,Flexible e-Rickshaw from Jasola Vihar,,715,,,,,,
route_23,,Rithala,Flexible e-Rickshaw from Rithala,,715,,,,,,
route_44,,Patel Nagar,Flexible e-Rickshaw from Patel Nagar,,715,,,,,,
route_72,,Shalimar Bagh,Flexible e-Rickshaw from Shalimar Bagh,,715,,,,,,
route_236,,Iffco Chowk,Flexible Gramin-Seva from Iffco Chowk,,715,,,,,,
route_123,,Bahadurgarh City,Flexible e-Rickshaw from Bahadurgarh City,,715,,,,,,
route_89,,Karkardooma,Flexible e-Rickshaw from Karkardooma,,715,,,,,,
route_41,,Ramesh Nagar,Flexible e-Rickshaw from Ramesh Nagar,,715,,,,,,
route_154,,Vishwa vidalaya,Flexible e-Rickshaw from Vishwa vidalaya,,715,,,,,,
route_39,,Rajouri Garden,Flexible e-Rickshaw from Rajouri Garden,,715,,,,,,
route_248,,noida sector 51,Flexible Shared Auto from noida sector 51,,715,,,,,,
route_73,,Shakurpur,Flexible e-Rickshaw from Shakurpur,,715,,,,,,
route_233,,noida City centre,Flexible e-Rickshaw from noida City centre,,715,,,,,,
route_37,,Kashmere Gate,Flexible e-Rickshaw from Kashmere Gate,,715,,,,,,
route_286,,Mohan Estate,Flexible e-Rickshaw from Mohan Estate,,715,,,,,,
route_109,,Nangloi,Flexible e-Rickshaw from Nangloi,,715,,,,,,
route_257,,Lal Quila,Flexible e-Rickshaw from Lal Quila,,715,,,,,,
route_78,,Narayana Vihar,Flexible e-Rickshaw from Narayana Vihar,,715,,,,,,
route_262,,Jama Masjid,Flexible e-Rickshaw from Jama Masjid,,715,,,,,,
route_117,,Mundka,Flexible Gramin-Seva from Mundka,,715,,,,,,
route_70,,Shalimar Bagh,Flexible Cycle Rickshaw from Shalimar Bagh,,715,,,,,,
route_29,,Pitampura,Flexible e-Rickshaw from Pitampura,,715,,,,,,
route_22,,Rithala,Flexible e-Rickshaw from Rithala,,715,,,,,,
route_40,,Rajouri Garden,Flexible e-Rickshaw from Rajouri Garden,,715,,,,,,
