shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_715_10,28.59734,77.132339,66,2635.251
shp_715_10,28.596895,77.132118,67,2689.181
shp_715_10,28.596838,77.132217,68,2700.664
shp_715_10,28.596779,77.132271,69,2709.103
shp_715_10,28.596712,77.132317,70,2717.55
shp_715_10,28.596624,77.132339,71,2727.624
shp_715_10,28.596535,77.132339,72,2737.688
shp_715_10,28.596447,77.132309,73,2747.755
shp_715_10,28.596397,77.132278,74,2754.103
shp_715_10,28.596334,77.132217,75,2763.083
shp_715_10,28.596287,77.132149,76,2772.053
shp_715_10,28.596254,77.132065,77,2781.034
shp_715_10,28.596241,77.131981,78,2788.91
shp_715_10,28.596245,77.131874,79,2799.509
shp_715_10,28.596275,77.131775,80,2810.096
shp_715_10,28.596331,77.131683,81,2820.688
shp_715_10,28.596394,77.131622,82,2829.931
shp_715_10,28.596394,77.131622,83,2829.931
shp_715_10,28.596472,77.131577,84,2839.774
